SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
061,09,003,00000,10100,00000,1,A,Burlington town,Connecticut,9301,9301,9318,9395,9437,9489,9574,9618,9623,9640
061,09,003,00000,12270,00000,1,A,Canton town,Connecticut,10292,10292,10300,10337,10364,10371,10364,10351,10327,10298
061,09,003,00000,22070,00000,1,A,East Granby town,Connecticut,5148,5148,5159,5170,5189,5212,5212,5198,5177,5166
061,09,003,00000,22630,00000,1,A,East Hartford town,Connecticut,51252,51249,51279,51375,51386,51337,51166,50733,50518,50319
061,09,003,00000,24800,00000,1,A,East Windsor town,Connecticut,11162,11162,11189,11351,11401,11434,11437,11416,11397,11395
061,09,003,00000,25990,00000,1,A,Enfield town,Connecticut,44654,44654,44661,44738,44730,44806,44605,44430,44515,44585
061,09,003,00000,27600,00000,1,A,Farmington town,Connecticut,25340,25343,25360,25447,25545,25602,25641,25602,25582,25572
061,09,003,00000,31240,00000,1,A,Glastonbury town,Connecticut,34427,34427,34452,34612,34710,34791,34735,34689,34627,34575
061,09,003,00000,32640,00000,1,A,Granby town,Connecticut,11282,11282,11288,11310,11332,11331,11322,11311,11280,11357
061,09,003,00000,37070,00000,0,C,Hartford town,Connecticut,124775,124775,125403,125572,125399,125420,124863,124510,123853,123400
071,09,003,37000,37070,00000,1,A,Hartford city,Connecticut,124775,124775,125403,125572,125399,125420,124863,124510,123853,123400
061,09,003,00000,37140,00000,1,A,Hartland town,Connecticut,2114,2114,2117,2133,2135,2133,2127,2126,2120,2112
061,09,003,00000,44700,00000,1,A,Manchester town,Connecticut,58241,58252,58270,58364,58386,58380,58227,58154,58134,57932
061,09,003,00000,45820,00000,1,A,Marlborough town,Connecticut,6404,6404,6406,6428,6436,6428,6439,6428,6411,6397
061,09,003,00000,50440,00000,0,C,New Britain town,Connecticut,73206,73202,73273,73348,73288,73218,73162,73322,72923,72710
071,09,003,50370,50440,00000,1,A,New Britain city,Connecticut,73206,73202,73273,73348,73288,73218,73162,73322,72923,72710
061,09,003,00000,52140,00000,1,A,Newington town,Connecticut,30562,30538,30556,30598,30620,30768,30702,30608,30504,30404
061,09,003,00000,60120,00000,1,A,Plainville town,Connecticut,17716,17716,17731,17791,17853,17863,17830,17820,17759,17705
061,09,003,00000,65370,00000,1,A,Rocky Hill town,Connecticut,19709,19709,19707,19630,19672,19835,19996,20000,20140,20105
061,09,003,00000,68940,00000,1,A,Simsbury town,Connecticut,23511,23511,23519,23573,23607,23811,23995,24320,24428,24952
061,09,003,00000,70550,00000,1,A,Southington town,Connecticut,43069,43085,43190,43367,43570,43745,43847,43845,43798,43863
061,09,003,00000,71390,00000,1,A,South Windsor town,Connecticut,25709,25702,25721,25786,25822,25847,25804,25766,25693,25937
061,09,003,00000,74540,00000,1,A,Suffield town,Connecticut,15735,15735,15770,15839,15602,15641,15657,15693,15672,15698
061,09,003,00000,82590,00000,1,A,West Hartford town,Connecticut,63268,63292,63470,63516,63602,63629,63421,63345,63264,63133
061,09,003,00000,84900,00000,1,A,Wethersfield town,Connecticut,26668,26668,26679,26745,26580,26560,26489,26420,26300,26195
061,09,003,00000,87000,00000,1,A,Windsor town,Connecticut,29044,29052,29114,29176,29176,29188,29088,29052,28968,28898
061,09,003,00000,87070,00000,1,A,Windsor Locks town,Connecticut,12498,12498,12509,12563,12576,12594,12580,12563,12558,12554
050,09,005,00000,00000,00000,0,N,Litchfield County,Connecticut,189927,189926,189829,189076,187685,187062,185585,184349,183097,182177
157,09,005,02690,00000,00000,0,A,Bantam borough,Connecticut,759,759,758,756,750,749,744,740,734,731
